player,minutes,prog_passes,prog_carries,prog_passes_90,prog_carries_90,prog_passes_final_third,prog_passes_final_third_90,total_games,mid_games
Adam Gnezda Čerin,394,52,11,11.878172588832488,2.512690355329949,20,4.568527918781726,4,4
Adrien Rabiot,378,55,24,13.095238095238095,5.7142857142857135,31,7.3809523809523805,5,5
Amadou Onana,372,53,13,12.822580645161292,3.1451612903225805,27,6.53225806451613,4,4
András Schäfer,290,36,10,11.172413793103448,3.103448275862069,11,3.413793103448276,3,3
Antoine Griezmann,253,33,11,11.739130434782608,3.9130434782608696,23,8.181818181818182,4,3
Aurélien Djani Tchouaméni,481,139,25,26.008316008316008,4.677754677754678,76,14.220374220374222,5,5
Bernardo Mota Veiga de Carvalho e Silva,213,20,18,8.450704225352112,7.605633802816901,10,4.225352112676056,4,2
Bruno Miguel Borges Fernandes,385,97,29,22.675324675324674,6.779220779220779,68,15.896103896103897,4,4
Callum McGregor,257,17,0,5.953307392996109,0.0,8,2.801556420233463,3,3
Christian Dannemann Eriksen,275,38,8,12.436363636363637,2.618181818181818,28,9.163636363636364,4,3
Daniel Olmo Carvajal,252,38,22,13.571428571428571,7.857142857142857,29,10.357142857142856,3,3
Declan Rice,698,121,28,15.601719197707736,3.6103151862464187,59,7.607449856733524,7,7
Dennis Man,247,14,9,5.101214574898785,3.2793522267206474,13,4.7368421052631575,3,3
Dominik Szoboszlai,288,41,7,12.8125,2.1875,32,10.0,3,3
Fabián Ruiz Peña,565,114,31,18.15929203539823,4.938053097345133,73,11.628318584070797,6,6
Georgiy Sudakov,265,36,14,12.226415094339622,4.754716981132075,25,8.49056603773585,3,3
Giorgi Chakvetadze,215,13,12,5.441860465116279,5.023255813953488,4,1.6744186046511627,3,3
Giorgi Kochorashvili,377,56,10,13.36870026525199,2.387267904509284,12,2.8647214854111405,4,4
Granit Xhaka,494,118,17,21.497975708502025,3.097165991902834,62,11.295546558704453,5,5
Hakan Çalhanoğlu,365,59,13,14.547945205479452,3.2054794520547945,33,8.136986301369863,4,4
Jan Mlakar,292,22,7,6.780821917808219,2.1575342465753424,9,2.773972602739726,4,4
Jerdy Schouten,521,96,7,16.583493282149714,1.2092130518234165,43,7.428023032629558,6,6
Jorge Luiz Frello Filho,222,54,5,21.891891891891895,2.0270270270270268,29,11.756756756756756,3,3
João Maria Lobo Alves Palhinha Gonçalves,304,51,2,15.098684210526315,0.5921052631578947,24,7.105263157894736,4,4
Jude Bellingham,593,69,36,10.472175379426645,5.463743676222597,39,5.919055649241146,7,6
Juraj Kucka,347,31,7,8.040345821325648,1.8155619596541788,15,3.890489913544669,4,4
Kevin De Bruyne,379,73,20,17.33509234828496,4.74934036939314,53,12.585751978891821,4,4
Kobbie Mainoo,325,30,13,8.307692307692308,3.6,21,5.815384615384615,4,4
Kristjan Asllani,288,63,9,19.6875,2.8125,39,12.1875,3,3
Luka Modrić,243,73,17,27.037037037037038,6.296296296296297,43,15.925925925925926,3,3
Lukáš Provod,234,22,12,8.461538461538462,4.615384615384615,14,5.384615384615385,3,3
Marcelo Brozović,236,45,5,17.161016949152543,1.906779661016949,23,8.771186440677967,3,3
Marius Mihai Marin,307,29,6,8.501628664495113,1.758957654723127,18,5.276872964169381,4,4
Mateo Kovačić,232,33,27,12.801724137931036,10.474137931034482,24,9.310344827586206,3,3
Morten Hjulmand,247,46,5,16.761133603238868,1.8218623481781377,20,7.287449392712551,3,3
Mykola Shaparenko,225,38,11,15.200000000000001,4.4,21,8.4,3,3
N'Golo Kanté,525,85,30,14.571428571428573,5.142857142857142,49,8.4,6,6
Nicolae Claudiu Stanciu,359,31,2,7.77158774373259,0.5013927576601671,16,4.011142061281337,4,4
Nicolas Seiwald,383,57,11,13.394255874673629,2.584856396866841,21,4.934725848563969,4,4
Nicolò Barella,349,50,13,12.893982808022923,3.35243553008596,31,7.9942693409742125,4,4
Ondrej Duda,327,39,6,10.733944954128441,1.651376146788991,25,6.880733944954128,4,4
Orkun Kökçü,223,30,14,12.10762331838565,5.650224215246637,14,5.650224215246637,3,3
Petar Stojanović,319,34,22,9.592476489028213,6.206896551724138,19,5.360501567398119,4,4
Phil Foden,282,28,9,8.936170212765958,2.8723404255319145,22,7.0212765957446805,7,3
Pierre-Emile Højbjerg,366,90,16,22.131147540983605,3.9344262295081966,47,11.557377049180328,4,4
Piotr Zieliński,259,32,22,11.11969111969112,7.644787644787645,19,6.602316602316603,3,3
Remo Freuler,453,48,11,9.536423841059603,2.185430463576159,19,3.7748344370860925,5,5
Robert Andrich,250,61,1,21.96,0.36,32,11.52,4,4
Rodrigo Hernández Cascante,538,108,24,18.066914498141266,4.014869888475836,46,7.695167286245353,6,6
Roland Sallai,286,12,12,3.7762237762237763,3.7762237762237763,8,2.5174825174825175,3,3
Ruben Vargas,206,18,10,7.864077669902913,4.368932038834951,12,5.242718446601942,4,3
Răzvan Gabriel Marin,363,34,4,8.429752066115702,0.9917355371900827,20,4.958677685950414,4,4
Scott McTominay,278,15,4,4.856115107913669,1.2949640287769786,7,2.2661870503597124,3,3
Stanislav Lobotka,406,61,17,13.52216748768473,3.768472906403941,25,5.541871921182266,4,4
Tijjani Reijnders,507,69,31,12.248520710059172,5.502958579881657,44,7.810650887573964,6,6
Timi Elšnik,362,43,16,10.69060773480663,3.9779005524861875,24,5.966850828729282,4,4
Tomáš Souček,285,28,3,8.842105263157896,0.9473684210526315,17,5.368421052631579,3,3
Toni Kroos,490,192,17,35.265306122448976,3.122448979591837,87,15.979591836734693,5,5
Vitor Machado Ferreira,357,73,22,18.403361344537814,5.546218487394958,42,10.588235294117647,4,4
Xavi Simons,345,33,20,8.608695652173914,5.217391304347826,27,7.043478260869565,5,4
Ylber Ramadani,274,27,6,8.868613138686133,1.9708029197080292,8,2.627737226277372,3,3
İlkay Gündoğan,387,41,8,9.534883720930234,1.8604651162790697,26,6.046511627906977,5,5
